时间(s),电流(mA)
10.1879,157.638
10.2135,157.845
10.2392,157.71
10.2648,157.905
10.2905,157.771
10.3162,159.079
10.3418,159.342
10.3675,157.522
10.3932,158.513
10.4188,156.977
10.4445,158.291
10.4702,157.173
10.4958,158.347
10.5215,157.438
10.5471,158.262
10.5728,156.298
10.5985,158.852
10.6241,156.74
10.6498,158.708
10.6755,156.645
10.7011,158.757
10.7268,157.198
10.7524,158.12
10.7781,156.991
10.8037,158.472
10.8294,156.721
10.8551,158.632
10.8807,156.659
10.9064,157.996
10.9321,157.294
10.9577,158.538
10.9834,156.882
11.009,158.619
11.0347,157.319
11.0604,157.906
11.086,157.379
11.1117,157.992
11.1374,158.266
11.163,157.717
11.1887,158.16
11.2143,158.503
11.24,158.103
11.2657,157.708
11.2913,158.346
11.317,157.172
11.3426,158.456
11.3683,157.816
11.394,159.019
11.4196,157.517
11.4453,159.176
11.471,156.829
11.4966,158.758
11.5223,157.166
11.5479,158.736
11.5736,157.089
11.5993,157.8252
11.6249,157.167
11.6506,158.642
11.6762,157.492
11.7019,159.433
11.7276,157.237
11.7532,159.172
11.7789,157.559
11.8045,158.841
11.8302,158.043
11.8559,158.437
11.8815,157.91
11.9072,159.334
11.9329,157.775
11.9585,158.838
11.9842,157.902
12.0098,157.07
12.0355,157.54659999999998
12.0611,157.227
12.0868,158.005
12.1125,157.529
12.1381,157.208
12.1638,157.196
12.1894,158.41
12.2151,157.302
12.2407,157.868
12.2664,157.217
12.292,158.909
12.3177,157.274
12.3433,158.835
12.369,157.264
12.3947,158.65
12.4203,157.855
12.446,158.781
12.4716,157.745
12.4973,158.0334
12.5229,157.293
12.5486,159.247
12.5743,157.101
12.5999,158.476
12.6256,157.235
12.6512,159.324
12.6769,157.266
12.7026,159.088
12.7282,157.76
12.7539,158.976
12.7795,158.118
12.8052,158.783
12.8309,157.737
12.8565,158.506
12.8822,157.695
12.9078,159.106
12.9335,158.067
12.9592,158.454
12.9848,158.658
13.0105,158.122
13.0361,158.945
13.0618,157.85
13.0875,158.522
13.1131,158.197
13.1388,158.222
13.1645,158.409
13.1901,159.269
13.2158,157.764
13.2415,159.427
13.2671,157.552
13.2928,159.219
13.3184,157.479
13.3441,158.661
13.3698,157.0
13.3954,158.008
13.4211,157.61
13.4467,158.986
13.4724,157.783
13.4981,159.337
13.5238,157.962
13.5494,159.347
13.5751,157.489
13.6007,159.184
13.6264,157.224
13.652,159.213
13.6777,157.795
13.7034,158.805
13.729,158.357
13.7547,158.579
13.7803,157.383
13.806,158.704
13.8317,158.299
13.8573,158.397
13.883,158.24
13.9086,158.679
13.9343,157.961
13.96,159.08
13.9856,158.311
14.0113,158.378
14.037,158.147
14.0626,157.158
14.0883,158.682
14.1139,157.905
14.1396,158.18
14.1653,157.296
14.1909,158.745
14.2166,157.255
14.2422,158.46
14.2679,157.387
14.2936,158.643
14.3192,157.733
14.3449,158.786
14.3706,156.742
14.3962,158.862
14.4219,157.61
14.4476,158.75
14.4732,157.798
14.4989,156.2958
14.5246,157.6212
14.5502,155.937
14.5759,156.945
14.6015,158.432
14.6272,157.094
14.6529,158.066
14.6785,157.162
14.7042,157.999
14.7298,156.814
14.7555,158.139
14.7812,157.582
14.8068,157.842
14.8325,157.629
14.8582,158.038
14.8838,157.695
14.9095,158.571
14.9351,157.922
14.9608,157.959
14.9865,158.339
15.0121,157.592
15.0378,158.662
15.0634,157.333
15.0891,158.358
15.1148,157.85
15.1404,158.425
15.1661,157.3
15.1917,158.503
15.2174,157.407
15.2431,158.971
15.2687,156.592
15.2944,159.105
15.32,157.069
15.3457,158.416
15.3714,156.859
15.397,158.654
15.4227,157.577
15.4483,158.636
15.474,156.898
15.4996,158.644
15.5253,157.448
15.551,158.3
15.5766,157.311
15.6023,158.88
15.6279,157.393
15.6536,158.458
15.6793,157.369
15.7049,158.054
15.7306,157.948
15.7562,158.001
15.7819,158.13
15.8076,158.078
15.8332,157.834
15.8589,158.367
15.8845,157.946
15.9102,157.81
15.9359,158.4
15.9615,157.267
15.9872,158.022
16.0128,158.066
16.0385,158.783
16.0642,157.59
16.0898,159.37
16.1155,157.161
16.1411,159.2
16.1668,157.297
16.1924,158.415
16.2181,156.981
16.2438,157.90839999999997
16.2694,157.368
16.2951,158.894
16.3207,157.884
16.3464,159.017
16.372,157.685
16.3977,159.025
16.4234,157.1
16.449,159.357
16.4747,157.501
16.5003,158.451
16.526,157.454
16.5516,158.813
16.5773,157.303
16.6029,158.705
16.6286,157.619
16.6542,158.316
16.6799,157.982
16.7056,158.204
16.7312,158.384
16.7569,158.527
16.7825,158.273
16.8082,158.61
16.8338,158.239
16.8595,157.393
16.8851,158.043
16.9108,157.443
16.9364,158.884
16.9621,157.579
16.9877,158.658
17.0134,156.9546
17.0391,157.0604
17.0647,157.754
17.0904,157.725
17.116,156.373
17.1417,158.124
17.1674,156.263
17.193,158.767
17.2187,156.708
17.2443,157.562
17.27,156.076
17.2957,158.155
17.3213,156.922
17.347,158.047
17.3727,156.388
17.3983,158.619
17.424,156.802
17.4496,158.585
17.4753,157.025
17.5009,158.168
17.5266,157.557
17.5523,157.778
17.5779,157.337
17.6036,158.19
17.6292,157.005
17.6549,157.421
17.6805,157.743
17.7062,158.017
17.7319,157.789
17.7575,158.058
17.7832,157.869
17.8088,157.952
17.8345,158.503
17.8602,157.037
17.8858,158.566
17.9115,157.371
17.9372,158.583
17.9628,157.53
17.9885,158.633
18.0141,157.599
18.0398,158.4
18.0655,156.979
18.0911,159.077
18.1168,156.925
18.1425,159.304
18.1681,157.143
18.1938,158.733
18.2195,157.416
18.2451,158.769
18.2708,157.394
18.2964,158.761
18.3221,157.11
18.3478,158.578
18.3734,157.772
18.3991,158.779
18.4247,157.61
18.4504,158.49
18.4761,157.425
18.5017,159.291
18.5274,157.808
18.5531,157.886
18.5787,157.81
18.6044,158.722
18.63,158.108
18.6557,157.957
18.6814,158.209
18.707,157.639
18.7327,158.405
18.7583,157.792
18.784,158.257
18.8097,157.996
18.8353,158.263
18.861,157.087
18.8867,158.907
18.9123,157.946
18.938,158.706
18.9636,157.499
18.9893,158.945
19.015,157.361
19.0406,159.017
19.0663,157.213
19.0919,158.038
19.1176,157.19
19.1433,158.914
19.1689,157.856
19.1946,158.78
19.2203,157.659
19.2459,158.816
19.2716,156.802
19.2973,158.658
19.3229,158.15
19.3486,158.724
19.3743,157.923
19.3999,159.188
19.4256,157.671
19.4513,158.897
19.4769,158.187
19.5026,157.004
19.5282,157.506
19.5539,157.171
19.5796,157.659
19.6053,157.509
19.6309,156.799
19.6566,156.912
19.6822,157.916
19.7079,157.275
19.7336,157.636
