时间(s),电流(mA)
10.1913,158.015
10.2169,159.205
10.2426,157.344
10.2683,158.546
10.2939,157.2082
10.3196,157.12759999999997
10.3453,158.065
10.371,158.13
10.3966,157.927
10.4223,158.5
10.448,156.696
10.4736,158.244
10.4993,157.069
10.5249,158.003
10.5506,156.928
10.5763,158.189
10.602,157.094
10.6276,159.216
10.6533,156.94
10.679,157.691
10.7047,157.56
10.7303,158.868
10.756,157.266
10.7817,157.919
10.8073,158.183
10.833,158.214
10.8587,157.243
10.8843,158.238
10.91,157.645
10.9357,158.1
10.9613,158.319
10.987,157.692
11.0127,158.835
11.0383,157.772
11.064,157.911
11.0897,157.353
11.1153,158.625
11.141,157.202
11.1667,158.047
11.1923,157.03
11.218,158.927
11.2437,157.588
11.2694,158.364
11.295,157.346
11.3207,159.327
11.3464,157.123
11.372,159.304
11.3977,157.519
11.4234,158.827
11.449,156.95
11.4747,159.063
11.5004,157.294
11.526,159.313
11.5517,157.829
11.5774,158.679
11.603,157.875
11.6287,158.846
11.6544,157.719
11.6801,158.694
11.7057,157.527
11.7314,159.162
11.7571,157.991
11.7827,158.033
11.8084,157.669
11.8341,157.809
11.8598,158.379
11.8854,157.97
11.9111,158.25
11.9368,158.439
11.9624,158.103
11.9881,157.725
12.0138,158.73
12.0395,158.071
12.0651,158.946
12.0908,157.06
12.1165,158.376
12.1422,157.518
12.1678,159.115
12.1935,157.319
12.2192,158.76
12.2448,157.383
12.2705,158.899
12.2962,157.715
12.3219,159.141
12.3475,157.929
12.3732,159.302
12.3989,157.635
12.4245,159.428
12.4502,156.988
12.4759,158.665
12.5015,157.579
12.5272,159.058
12.5529,158.199
12.5785,158.525
12.6042,157.755
12.6298,159.376
12.6555,158.036
12.6812,158.899
12.7068,157.938
12.7325,157.939
12.7582,157.651
12.7839,156.596
12.8095,157.3962
12.8352,157.483
12.8609,157.601
12.8865,157.65
12.9122,157.366
12.9379,157.355
12.9636,157.609
12.9892,156.636
13.0149,158.415
13.0406,157.3
13.0662,158.264
13.0919,157.208
13.1176,158.267
13.1432,157.349
13.1689,158.129
13.1946,156.611
13.2202,158.541
13.2459,156.815
13.2716,158.213
13.2972,157.375
13.3229,158.951
13.3486,156.887
13.3742,158.757
13.3999,156.852
13.4256,158.268
13.4513,157.081
13.477,158.841
13.5026,156.925
13.5283,158.098
13.554,157.483
13.5796,158.6
13.6053,157.468
13.631,158.649
13.6566,157.709
13.6823,158.073
13.7079,158.134
13.7336,158.027
13.7593,158.094
13.7849,157.798
13.8106,158.286
13.8363,158.155
13.8619,157.928
13.8876,157.857
13.9133,158.86
13.9389,157.338
13.9646,158.701
13.9903,157.101
14.0159,159.075
14.0416,157.82
14.0673,158.119
14.0929,156.925
14.1186,159.457
14.1443,156.915
14.1699,158.646
14.1956,157.634
14.2213,159.019
14.2469,157.058
14.2726,158.789
14.2983,158.035
14.324,159.154
14.3496,157.669
14.3753,158.916
14.401,157.699
14.4266,159.052
14.4523,157.07
14.478,158.853
14.5037,157.742
14.5293,158.808
14.555,158.585
14.5807,158.357
14.6063,158.746
14.632,158.476
14.6577,157.898
14.6578,158.532
14.709,158.179
14.7347,157.73
14.7604,158.14
14.786,158.391
14.8117,158.701
14.8373,157.562
14.863,158.395
14.8887,157.896
14.9144,158.743
14.94,157.73
14.9657,158.58
14.9914,156.956
15.0171,158.983
15.0427,157.586
15.0684,158.68
15.0941,157.611
15.1198,159.591
15.1454,157.391
15.1711,159.266
15.1968,157.098
15.2224,158.723
15.2481,157.303
15.2738,158.896
15.2995,157.5502
15.3251,156.7282
15.3508,157.744
15.3765,157.594
15.4022,156.928
15.4278,157.697
15.4535,156.649
15.4792,157.824
15.5049,156.863
15.5305,158.297
15.5562,156.99
15.5819,157.657
15.6076,157.975
15.6332,158.061
15.6589,158.12
15.6846,157.516
15.7103,157.735
15.736,157.821
15.7616,157.444
15.7873,156.795
15.813,157.853
15.8386,157.533
15.8643,157.576
15.89,156.653
15.9157,158.796
15.9413,157.654
15.967,158.108
15.9927,157.396
16.0183,158.718
16.044,157.111
16.0697,158.63
16.0953,156.79
16.121,159.199
16.1467,157.226
16.1724,158.747
16.198,157.523
16.2237,158.543
16.2494,157.376
16.275,158.333
16.3007,157.379
16.3264,159.282
16.3521,157.325
16.3777,158.544
16.4034,157.672
16.4291,158.638
16.4547,158.239
16.4804,157.834
16.5061,158.124
16.5318,158.623
16.5574,157.742
16.5831,157.554
16.6088,158.384
16.6344,158.308
16.6601,158.211
16.6858,158.159
16.7115,158.437
16.7371,157.862
16.7628,158.65
16.7885,157.406
16.8141,159.147
16.8398,157.622
16.8655,158.085
16.8912,157.23
16.9168,159.472
16.9425,157.75
16.9682,159.22
16.9939,157.255
17.0195,159.012
17.0452,158.111
17.0709,158.528
17.0966,157.438
17.1222,159.132
17.1479,157.088
17.1736,158.884
17.1993,157.115
17.2249,159.499
17.2506,158.228
17.2763,158.375
17.3019,158.033
17.3276,158.581
17.3533,157.573
17.3789,158.551
17.4046,157.56
17.4303,159.01
17.4559,158.175
17.4816,158.237
17.5073,158.847
17.533,158.174
17.5586,158.903
17.5843,158.097
17.61,158.244
17.6357,157.325
17.6613,158.545
17.687,157.388
17.7127,158.971
17.7383,158.385
17.764,158.622
17.7897,157.2726
17.8153,157.10399999999998
17.841,157.672
17.8667,157.962
17.8923,157.815
17.918,158.532
17.9437,156.777
17.9694,158.132
17.995,157.145
18.0207,158.106
18.0464,157.767
18.072,158.211
18.0977,157.234
18.1234,158.139
18.149,157.229
18.1747,158.284
18.2004,156.714
18.2261,158.134
18.2517,157.672
18.2774,157.904
18.3031,156.696
18.3287,158.193
18.3544,157.901
18.3801,157.736
18.4057,157.186
18.4314,157.639
18.4571,157.385
18.4828,158.198
18.5084,157.934
18.5341,157.967
18.5598,158.137
18.5854,157.218
18.6111,158.83
18.6368,157.88
18.6625,158.624
18.6881,157.738
18.7138,158.618
18.7395,157.83
18.7652,158.623
18.7908,157.176
18.8165,159.224
18.8422,157.274
18.8678,159.079
18.8935,157.63
18.9192,158.694
18.9448,157.261
18.9705,158.353
18.9962,157.281
19.0218,159.199
19.0475,156.789
19.0732,158.928
19.0989,157.077
19.1245,158.27
19.1502,157.208
19.1759,158.747
19.2015,157.535
19.2272,158.76
19.2529,158.189
19.2785,158.61
19.3042,157.473
19.3299,157.827
19.3555,158.104
19.3812,158.336
19.4069,158.103
19.4326,158.543
19.4582,158.068
19.4839,157.888
19.5096,158.781
19.5352,157.857
19.5609,158.171
19.5866,157.4
19.6123,159.076
19.6379,157.957
19.6636,158.487
19.6893,157.549
19.715,159.742
19.7407,157.728
19.7663,159.418
19.792,157.264
19.8177,159.301
19.8434,157.695
19.869,158.593
19.8947,157.233
19.9204,159.686
19.9461,157.54
19.9717,158.5
19.9974,157.25
20.0231,159.613
20.0488,157.229
20.0744,158.597
20.1001,157.947
20.1258,158.78
20.1514,158.098
20.1771,158.151
20.2028,157.474
20.2285,158.727
20.2541,158.364
20.2798,157.06
20.3055,157.4812
20.3312,157.185
20.3569,157.829
20.3825,156.968
20.4082,157.952
20.4339,157.668
20.4596,157.618
20.4852,157.543
20.5109,157.289
20.5366,156.788
20.5623,158.046
20.5879,157.415
20.6136,158.373
20.6393,157.504
20.6649,158.307
20.6906,157.97480000000002
20.7163,158.245
20.742,157.454
20.7676,158.364
20.7933,156.546
20.819,158.453
20.8446,157.141
20.8703,158.377
20.896,157.058
20.9217,158.749
20.9474,157.042
20.973,158.983
20.9987,157.23
21.0244,158.935
21.0501,157.623
21.0757,158.058
21.1014,157.871
21.1271,158.23
21.1528,156.704
21.1784,158.054
21.2041,158.006
21.2298,157.985
21.2554,157.498
21.2811,157.664
21.3068,157.909
21.3324,158.348
21.3581,157.83
21.3838,157.158
21.4095,158.433
21.4351,158.415
21.4608,158.374
21.4865,157.843
21.5121,159.015
21.5378,157.683
21.5635,159.256
21.5892,157.179
21.6148,159.258
21.6405,157.291
21.6662,158.219
21.6918,156.818
21.7175,159.225
21.7432,157.187
21.7689,159.013
21.7945,157.7
21.8202,159.045
21.8459,157.48
21.8716,158.969
21.8972,157.172
21.9229,159.249
21.9486,157.546
21.9743,158.307
21.9999,157.561
22.0256,159.184
22.0513,157.849
22.0769,159.013
22.1026,158.252
22.1283,158.815
22.154,158.62
22.1796,158.353
22.2053,158.56
22.231,158.651
22.2567,158.371
22.2823,158.49
22.308,158.189
22.3337,158.189
22.3594,159.097
22.385,157.873
22.4107,159.152
22.4364,157.727
22.462,158.912
22.4877,157.888
22.5134,158.985
22.5391,158.525
22.5648,159.333
22.5904,157.986
22.6161,159.16
22.6418,157.826
22.6674,158.934
22.6931,157.738
22.7188,157.0196
22.7445,157.009
22.7701,158.578
22.7958,157.46639999999996
22.8215,156.738
22.8471,157.386
22.8728,158.353
22.8985,156.534
22.9242,158.207
22.9499,157.165
22.9755,157.87
23.0012,156.746
23.0269,158.517
23.0526,157.092
23.0782,157.59
23.1039,157.78
23.1296,157.87
23.1553,157.62
23.1809,157.845
23.2066,157.669
23.2323,158.309
23.2579,157.916
23.2836,157.732
23.3093,158.627
23.3349,157.435
23.3606,158.022
23.3863,157.463
23.412,158.61
23.4376,157.257
23.4633,158.418
23.489,157.671
23.5146,158.904
23.5403,157.376
23.566,159.383
23.5916,156.907
23.6173,158.439
23.643,157.276
23.6687,159.049
23.6943,156.96
23.72,159.357
23.7457,157.158
23.7458,158.997
23.797,157.799
23.8227,158.67
23.8484,157.727
23.8741,158.635
23.8997,157.205
23.9254,158.613
23.9511,158.331
23.9767,158.492
24.0024,158.052
24.0281,158.886
24.0538,157.779
24.0794,158.823
24.1051,157.993
24.1308,157.874
24.1564,158.443
24.1821,158.502
24.2078,158.422
24.2334,158.355
24.2591,158.973
24.2848,157.818
24.3104,159.377
24.3361,157.649
24.3618,158.466
24.3874,157.381
24.4131,159.534
24.4388,157.371
24.4644,159.208
24.4901,157.695
24.5158,159.205
24.5415,158.227
24.5672,159.16
24.5928,157.529
24.6185,159.624
24.6442,157.464
24.6698,158.893
24.6955,157.825
24.7212,159.343
24.7469,157.309
24.7725,159.344
24.7982,157.75
24.8239,159.151
24.8495,158.419
24.8752,159.393
24.9009,157.85
24.9266,159.223
24.9523,158.256
24.9779,158.365
25.0036,158.615
25.0293,158.544
25.0549,158.342
25.0806,158.34
25.1063,159.033
25.132,158.45
25.1576,159.057
25.1833,158.05
25.209,158.677
25.2346,158.327
25.2603,158.623
25.286,157.2382
25.3116,157.1932
25.3373,157.947
25.3629,158.456
25.3886,156.471
25.4143,158.197
25.4399,157.135
25.4656,158.762
25.4913,156.615
25.5169,158.093
25.5426,156.6
25.5682,158.284
25.5939,157.364
25.6196,158.404
25.6453,156.504
25.6709,158.525
25.6966,157.527
25.7223,158.347
25.7479,156.934
25.7736,158.632
25.7993,157.505
25.8249,158.244
25.8506,157.795
25.8763,158.344
25.9019,157.976
25.9276,158.848
25.9533,157.733
25.9789,158.549
26.0046,158.262
26.0303,158.239
26.056,158.122
26.0816,157.453
26.1073,157.951
26.133,158.221
26.1586,158.682
26.1843,157.11
26.21,158.351
26.2357,157.448
26.2614,158.883
26.287,157.763
26.3127,158.849
26.3384,156.989
26.3641,158.33
26.3897,157.411
26.4154,159.531
26.4411,157.307
26.4668,159.342
26.4924,157.575
26.5181,159.289
26.5438,158.077
26.5694,159.09
26.5951,157.995
26.6208,159.407
26.6465,157.186
26.6721,158.455
26.6978,158.296
26.7235,158.935
26.7491,157.613
26.7748,159.077
26.8005,157.628
26.8261,158.49
26.8518,158.307
26.8775,158.771
26.9031,157.934
26.9288,158.097
26.9545,157.981
26.9801,158.111
27.0058,159.009
27.0315,158.277
27.0571,158.996
27.0828,158.112
27.1085,158.706
27.1341,158.384
27.1598,158.854
27.1855,158.417
27.2111,159.578
27.2368,157.288
27.2625,158.709
27.2881,157.22
27.3138,159.638
27.3395,158.0
27.3652,159.296
27.3908,158.028
27.4165,159.357
27.4422,157.827
27.4678,159.611
27.4935,157.647
27.5192,159.603
27.5449,157.912
27.5705,159.398
27.5962,158.207
27.6219,158.911
27.6475,158.155
27.6732,158.9
27.6989,157.472
27.7245,158.767
27.7502,158.58
27.7759,157.445
27.8016,157.66459999999998
27.8272,157.645
27.8529,157.41
27.8786,157.243
27.9043,157.487
27.9299,157.921
27.9556,157.321
27.9813,157.296
28.0069,158.199
28.0326,157.35
28.0583,158.089
28.0839,157.807
28.1096,158.322
28.1353,157.663
28.161,158.533
28.1866,156.903
28.2123,159.062
28.238,157.386
28.2636,158.385
28.2893,157.073
28.315,159.172
28.3407,157.17
28.3663,159.214
28.392,157.236
28.4177,158.744
28.4433,157.781
28.469,158.582
28.4947,156.925
28.5204,159.175
28.546,158.139
28.5717,158.729
28.5974,157.694
28.6231,158.661
28.6487,157.809
28.6744,158.986
28.7001,157.391
28.7257,158.384
28.7514,157.974
28.7771,158.303
28.8028,158.319
28.8284,157.798
28.8541,157.912
28.8798,158.248
28.9054,158.713
28.9311,157.558
28.9568,158.38
28.9824,158.189
29.0081,158.807
29.0338,157.86
29.0594,159.558
29.0851,157.979
29.1108,159.036
29.1365,157.469
29.1621,158.887
29.1878,158.021
29.2134,159.175
29.2391,157.668
29.2648,159.745
29.2904,157.365
29.3161,159.505
29.3418,157.473
29.3674,159.194
29.3931,158.182
29.4188,159.048
29.4445,158.378
29.4701,159.57
