时间(s),电流(mA)
10.0341,158.147
10.0598,158.223
10.0854,156.709
10.1111,158.704
10.1368,157.88100000000003
10.1624,158.455
10.1881,157.101
10.2138,158.436
10.2394,157.279
10.2651,158.476
10.2907,157.09
10.3164,158.813
10.3421,157.9572
10.3677,158.102
10.3934,157.454
10.4191,158.327
10.4447,157.045
10.4704,158.724
10.4961,157.066
10.5218,158.428
10.5474,157.358
10.5731,157.742
10.5988,157.958
10.6244,158.015
10.6501,157.904
10.6758,158.075
10.7015,157.762
10.7271,157.562
10.7528,158.465
10.7785,157.91
10.8041,158.291
10.8298,157.833
10.8555,158.221
10.8812,157.862
10.9068,159.029
10.9325,156.834
10.9581,157.887
10.9838,156.839
11.0095,159.372
11.0351,158.083
11.0608,158.45
11.0865,156.718
11.1121,159.267
11.1378,157.207
11.1634,158.344
11.1891,157.273
11.2148,158.466
11.2404,158.036
11.2661,158.464
11.2918,157.448
11.3174,158.529
11.3431,157.426
11.3688,158.559
11.3944,156.858
11.4201,158.201
11.4458,157.671
11.4714,158.139
11.4971,157.656
11.5227,158.904
11.5484,157.434
11.5741,157.8
11.5998,158.091
11.6254,158.251
11.6511,157.786
11.6767,158.077
11.7024,158.151
11.7281,157.837
11.7537,158.431
11.7794,157.167
11.8051,158.905
11.8307,157.666
11.8564,158.417
11.8821,157.759
11.9077,158.859
11.9334,157.929
11.9591,158.92
11.9847,157.173
12.0104,159.222
12.0361,157.016
12.0617,158.096
12.0874,157.111
12.1131,159.364
12.1387,157.344
12.1644,159.023
12.1901,157.312
12.2157,158.799
12.2414,157.882
12.2671,158.632
12.2927,157.935
12.3184,158.943
12.3441,157.274
12.3697,158.332
12.3954,158.333
12.4211,158.612
12.4467,158.0
12.4724,157.211
12.4981,157.5624
12.5237,157.957
12.5494,157.58
12.5751,157.064
12.6007,158.226
12.6264,157.499
12.6521,157.996
12.6777,157.522
12.7034,158.104
12.7291,157.858
12.7547,158.149
12.7804,157.435
12.8061,158.757
12.8317,156.94
12.8574,158.693
12.8831,156.925
12.9087,158.904
12.9344,157.526
12.9601,158.344
12.9857,157.148
13.0114,158.79
13.0371,157.347
13.0627,159.027
13.0884,157.147
13.1141,159.075
13.1397,157.271
13.1654,158.656
13.1911,157.831
13.2167,158.592
13.2424,157.713
13.2681,158.455
13.2937,157.527
13.3194,158.99
13.345,157.545
13.3707,158.297
13.3964,158.03
13.422,158.467
13.4477,158.726
13.4733,158.047
13.499,158.485
13.5247,158.596
13.5503,157.979
13.576,158.393
13.6016,158.746
13.6273,158.011
13.653,158.867
13.6786,157.586
13.7043,159.273
13.7299,157.857
13.7556,158.837
13.7813,157.654
13.8069,158.932
13.8326,157.706
13.8582,159.159
13.8839,157.183
13.9096,159.704
13.9352,157.376
13.9609,159.141
13.9866,157.365
14.0122,159.213
14.0379,157.923
14.0635,158.819
14.0892,157.897
14.1149,159.588
14.1405,157.681
14.1662,159.2
14.1918,157.517
14.2175,158.966
14.2431,158.135
14.2688,158.472
14.2944,158.659
14.3201,158.641
14.3457,157.971
14.3714,158.707
14.397,158.266
14.4227,158.924
14.4484,158.419
14.474,158.116
14.4997,159.452
14.5254,157.94
14.551,158.672
14.5767,157.778
14.6023,158.761
14.628,158.325
14.6536,158.622
14.6793,157.437
14.705,159.144
14.7306,157.372
14.7563,159.452
14.7819,157.506
14.8076,159.39
14.8333,157.923
14.8589,159.021
14.8846,157.863
14.9102,157.1338
14.9359,157.82
14.9615,156.4826
14.9872,157.5922
15.0128,156.6736
15.0385,157.397
15.0641,157.745
15.0898,157.261
15.1154,158.239
15.1411,157.177
15.1667,158.216
15.1924,156.941
15.218,158.508
15.2437,157.095
15.2694,157.877
15.295,157.603
15.3206,157.997
15.3463,158.133
15.3719,157.552
15.3976,157.837
