时间(s),电流(mA)
9.959,157.863
9.9847,159.031
10.0104,158.254
10.0361,158.373
10.0617,159.015
10.0874,158.332
10.1131,158.629
10.1387,158.054
10.1644,158.748
10.1901,158.658
10.2158,158.717
10.2414,158.514
10.2671,156.6102
10.2928,157.4622
10.3185,157.35139999999998
10.3441,157.742
10.3698,158.318
10.3955,157.124
10.4212,158.132
10.4468,156.538
10.4725,158.835
10.4982,157.133
10.5239,158.557
10.5495,157.159
10.5752,158.423
10.6009,157.128
10.6266,158.845
10.6522,156.766
10.6779,158.941
10.7036,156.995
10.7293,158.954
10.7549,157.501
10.7806,158.468
10.8063,157.851
10.832,158.587
10.8576,157.739
10.8833,158.701
10.909,157.538
10.9347,158.714
10.9603,157.835
10.986,157.653
11.0117,157.64
11.0373,158.483
11.063,158.055
11.0887,157.526
11.1143,158.425
11.14,158.355
11.1657,158.179
11.1914,157.839
11.217,159.058
11.2427,157.806
11.2684,159.233
11.2941,157.391
11.3197,159.273
11.3454,157.673
11.3711,158.576
11.3967,156.782
11.4224,159.095
11.4481,157.265
11.4738,159.09
11.4994,157.82
11.5251,159.084
11.5508,157.523
11.5765,159.161
11.6021,157.437
11.6278,159.566
11.6535,157.407
11.6791,158.536
11.7048,157.445
11.7305,159.335
11.7562,157.655
11.7818,158.961
11.8075,157.897
11.8332,158.487
11.8588,158.468
11.8845,158.28
11.9102,158.359
11.9359,158.321
11.9616,157.889
11.9872,158.37
12.0129,158.53
12.0386,158.199
12.0642,158.935
12.0899,157.506
12.1156,159.055
12.1412,157.95
12.1669,158.989
12.1926,158.282
12.2182,159.231
12.2439,158.163
12.2696,159.382
12.2953,157.125
12.3209,159.086
12.3466,157.756
12.3723,158.898
12.3979,156.991
12.4236,159.354
12.4493,157.283
12.475,159.342
12.5006,157.311
12.5263,159.26
12.552,157.593
12.5777,158.558
12.6033,157.857
12.629,159.137
12.6547,157.6
12.6803,159.015
12.706,157.478
12.7317,156.6162
12.7574,158.212
12.783,157.121
12.8087,157.67199999999997
12.8344,157.787
12.86,157.713
12.8857,157.527
12.9114,157.655
12.937,157.39
12.9627,157.733
12.9884,157.195
13.014,157.666
13.0397,158.032
13.0654,158.021
13.0911,157.584
13.1167,158.714
13.1424,157.347
13.1681,158.951
13.1937,157.136
13.2194,158.835
13.2451,157.514
13.2707,158.696
13.2964,157.617
13.3221,158.889
13.3477,156.967
13.3734,158.95
13.3991,156.931
13.4247,159.332
13.4504,156.901
13.4761,158.745
13.5017,157.774
13.5274,158.478
13.5531,156.765
13.5788,158.439
13.6044,157.655
13.6301,158.893
13.6558,157.763
13.6814,158.061
13.7071,157.714
13.7328,158.814
13.7584,157.996
13.7841,159.343
13.8098,158.206
13.8354,158.734
13.8611,159.336
13.8868,157.875
13.9125,158.595
13.9381,157.768
13.9638,157.836
13.9894,157.472
14.0151,159.047
14.0407,157.287
14.0664,158.556
14.0921,157.633
14.1177,158.536
14.1434,157.454
14.1691,158.803
14.1947,157.095
14.2204,159.071
14.2461,156.729
14.2717,159.247
14.2974,157.215
14.3231,158.646
14.3487,156.86
14.3744,159.294
14.4001,157.395
14.4258,158.956
14.4514,157.732
14.4771,158.778
14.5028,158.185
14.5284,159.051
14.5541,157.785
14.5798,159.049
14.6055,157.505
14.6311,158.741
14.6568,157.865
14.6825,158.111
14.7081,158.602
14.7338,158.047
14.7594,158.096
14.7851,158.157
14.8108,158.085
14.8364,158.608
14.8621,158.39
14.8878,157.596
14.9134,158.917
14.9391,157.663
14.9648,158.823
14.9904,157.299
15.0161,158.997
15.0418,158.126
15.0674,158.92
15.0931,157.739
15.1188,159.34
15.1444,157.878
15.1701,159.24
15.1958,156.978
15.2214,158.713
15.2471,156.832
15.2728,158.51
15.2984,157.112
15.3241,156.66979999999998
15.3498,157.131
15.3755,157.818
15.4011,156.862
15.4268,157.852
15.4525,156.89
15.4781,157.966
15.5038,157.011
15.5295,158.565
15.5551,156.721
15.5808,158.071
15.6065,157.457
15.6321,157.889
15.6578,157.612
15.6835,157.309
15.7091,157.811
15.7348,158.23
15.7605,157.461
15.7861,157.944
15.8118,158.068
15.8374,157.775
15.8631,158.236
15.8888,156.956
15.9144,159.02
15.9401,157.642
15.9658,158.245
15.9914,157.466
16.0171,158.692
16.0428,157.331
16.0684,158.677
16.0941,157.014
16.1197,159.336
16.1454,157.2
16.1711,158.967
16.1967,157.052
16.2224,158.693
16.248,157.349
16.2737,158.485
16.2994,157.415
16.325,158.984
16.3507,156.992
16.3764,158.775
16.402,157.15
16.4277,158.945
16.4533,157.788
16.479,158.026
16.5047,158.073
16.5303,158.364
16.556,157.136
16.5817,158.007
16.6073,158.661
16.633,158.303
16.6586,157.938
16.6843,158.066
16.71,158.347
16.7356,158.377
16.7613,158.199
16.7869,157.832
16.8126,158.83
16.8383,157.33
16.8639,158.832
16.8896,157.228
16.9153,158.889
16.9409,157.978
16.9666,158.551
16.9923,157.579
17.0179,159.141
17.0436,157.122
17.0692,158.957
17.0949,157.081
17.1206,159.291
17.1462,157.428
17.1719,158.868
17.1975,157.793
17.2232,159.337
17.2488,158.006
17.2745,158.705
17.3002,157.403
17.3258,159.154
17.3515,156.644
17.3772,158.759
17.4028,157.881
17.4285,159.055
17.4542,157.629
17.4798,158.492
17.5055,157.72
17.5312,158.33
17.5568,158.253
17.5825,158.046
17.6082,158.716
17.6338,158.417
17.6595,158.278
17.6852,158.199
17.7109,158.598
17.7365,158.294
17.7622,156.5172
17.7878,157.2504
17.8135,157.3112
17.8392,157.718
17.8648,157.759
17.8905,156.974
17.9162,158.023
17.9418,157.047
17.9675,158.014
17.9932,156.743
18.0189,159.1
18.0445,156.448
18.0702,158.385
18.0959,156.946
18.1215,158.252
18.1472,156.52
18.1728,158.662
18.1985,156.957
18.2242,158.201
18.2498,156.757
18.2755,158.732
18.3012,157.236
18.3268,158.497
18.3525,157.667
18.3782,158.151
18.4039,157.899
18.4295,158.32
18.4552,157.911
18.4809,158.338
18.5066,157.611
18.5322,158.58
18.5579,157.919
18.5836,157.918
18.6093,158.886
18.6349,157.563
18.6606,158.305
18.6863,157.47
18.7119,158.422
18.7376,158.063
18.7633,158.37
18.789,157.757
18.8146,159.169
18.8403,157.501
18.866,159.302
18.8916,157.439
18.9173,159.333
18.943,157.502
18.9686,159.005
18.9943,158.519
19.02,159.172
19.0456,157.523
19.0713,159.627
19.097,157.524
19.1226,159.496
19.1483,157.374
19.174,159.066
19.1997,157.991
19.2253,158.743
19.251,158.288
19.2767,158.804
19.3023,157.543
19.328,158.866
19.3537,157.55
19.3793,158.8
19.405,158.344
19.4307,158.47
19.4563,158.631
19.482,158.108
19.5076,158.595
19.5333,158.332
19.559,158.15
19.5846,157.978
19.6103,158.302
19.636,157.857
19.6617,158.652
19.6873,157.605
19.713,159.458
19.7387,157.545
19.7643,158.586
19.79,157.751
19.8156,158.804
19.8413,157.761
19.867,159.079
19.8926,157.486
19.9183,159.702
19.944,157.378
19.9696,159.174
19.9953,157.508
20.021,158.948
20.0466,158.115
20.0723,159.178
20.098,158.033
20.1236,159.22
20.1493,157.494
20.175,159.285
20.2006,157.58
20.2263,158.793
20.252,157.897
20.2776,157.397
20.3033,157.31980000000001
20.329,156.946
20.3547,157.077
20.3803,157.282
20.406,157.789
20.4317,157.585
20.4573,157.816
20.483,157.682
