时间(s),电流(mA)
9.5737,158.136
9.5994,157.011
9.625,157.916
9.6507,156.281
9.6764,158.372
9.702,157.293
9.7277,158.205
9.7534,156.395
9.7791,158.352
9.8047,156.278
9.8304,157.79
9.8561,156.632
9.8817,158.292
9.9074,156.532
9.9331,157.916
9.9587,157.042
9.9844,158.383
10.0101,157.054
10.0358,157.885
10.0614,156.955
10.0871,157.689
10.1128,157.231
10.1384,157.621
10.1641,157.312
10.1898,157.648
10.2154,157.463
10.2411,157.261
10.2668,158.06
10.2924,157.676
10.3181,157.568
10.3438,156.632
10.3694,158.009
10.3951,157.075
10.4208,157.984
10.4464,156.648
10.4721,158.44
10.4978,157.714
10.5234,158.507
10.5491,156.893
10.5748,158.747
10.6004,156.748
10.6261,158.134
10.6518,156.542
10.6774,158.645
10.7031,156.971
10.7287,158.232
10.7544,156.892
10.7801,158.629
10.8057,156.708
10.8314,158.195
10.8571,156.755
10.8828,158.239
10.9084,157.03
10.9341,157.753
10.9597,156.798
10.9854,158.12
11.0111,157.349
11.0367,157.744
11.0624,158.04
11.0881,158.4
11.1137,157.736
11.1394,157.373
11.165,157.877
11.1907,158.062
11.2164,157.808
11.242,156.4568
11.2677,156.89399999999998
11.2934,157.516
11.319,157.434
11.3447,156.49
11.3704,157.353
11.396,156.274
11.4217,157.296
11.4474,156.161
11.4731,157.514
11.4987,156.588
11.5244,158.091
11.5501,156.456
11.5758,158.125
11.6014,156.141
11.6271,157.37
11.6528,155.951
11.6784,157.988
11.7041,156.282
11.7298,157.491
11.7554,156.204
11.7811,158.074
11.8068,156.635
11.8324,157.844
11.8581,156.554
11.8838,158.035
11.9094,156.697
11.9351,157.278
11.9608,156.988
11.9865,157.775
12.0121,156.867
12.0378,157.428
12.0635,157.174
12.0891,157.235
12.1148,157.13
12.1405,157.093
12.1661,157.683
12.1918,157.299
12.2175,157.628
12.2431,156.95
12.2688,158.297
12.2945,157.172
12.3201,157.952
12.3458,156.473
12.3715,158.257
12.3971,156.999
12.4228,158.112
12.4485,156.547
12.4741,158.413
12.4998,156.762
12.5255,158.909
12.5511,157.062
12.5768,158.453
12.6025,156.921
12.6281,158.225
12.6538,156.527
12.6794,158.24
12.7051,156.69
12.7308,157.943
12.7564,156.715
12.7821,158.443
12.8078,157.073
12.8334,157.838
12.8591,157.283
12.8848,158.172
12.9104,157.02
12.9361,157.653
12.9618,157.629
12.9874,158.094
13.0131,157.567
13.0388,157.036
13.0644,157.975
13.0901,158.585
13.1158,158.101
13.1414,157.213
13.1671,158.452
13.1928,158.314
13.2185,158.018
13.2441,156.845
13.2698,158.863
13.2955,157.824
13.3212,158.257
13.3469,156.72
13.3725,158.432
13.3982,157.01
13.4239,158.306
13.4495,156.939
13.4752,158.667
13.5009,156.581
13.5266,158.825
13.5522,157.919
13.5779,158.739
13.6036,156.641
13.6293,158.592
13.6549,157.908
13.6806,156.537
13.7063,157.03
13.7319,157.565
13.7576,156.7902
13.7833,155.984
13.809,156.677
13.8346,156.695
13.8603,156.305
13.886,157.305
13.9117,156.552
13.9373,157.203
13.963,157.132
13.9887,157.31
14.0143,156.958
14.04,156.701
14.0657,157.189
14.0914,157.058
14.117,157.306
14.1427,156.704
14.1684,157.796
14.1941,156.747
14.2197,157.585
14.2454,156.637
14.2711,157.868
14.2967,156.558
14.3224,157.734
14.3481,156.651
14.3738,158.319
14.3994,156.771
14.4251,158.101
14.4508,156.339
14.4765,158.308
14.5021,157.081
14.5278,159.192
14.5535,157.055
14.5792,158.302
14.6048,156.782
14.6305,158.097
14.6562,156.979
14.6819,158.354
14.7075,157.008
14.7332,157.941
14.7589,157.2
14.7845,157.961
14.8102,157.116
14.8359,157.527
14.8616,157.774
14.8872,157.885
14.9129,157.374
14.9386,157.378
14.9642,157.926
14.9899,157.767
15.0156,157.982
15.0413,157.376
15.0669,158.302
15.0926,157.115
15.1183,157.747
15.1439,156.872
15.1696,158.379
15.1953,157.059
15.2209,158.333
15.2466,157.086
15.2723,158.848
15.2979,156.887
15.3236,158.246
15.3493,156.736
15.3749,158.452
15.4006,156.724
15.4263,158.198
15.4519,156.721
15.4776,158.369
15.5033,156.838
15.529,158.901
15.5547,157.721
15.5803,158.245
15.606,156.871
15.6317,158.223
15.6574,157.323
15.683,158.078
15.7087,157.141
15.7344,157.847
15.76,157.761
15.7857,158.092
15.8114,157.382
15.837,157.4
15.8627,157.526
15.8884,157.639
15.9141,157.655
15.9397,157.286
15.9654,158.362
15.9911,157.78
16.0168,158.224
16.0424,157.083
16.0681,158.569
16.0938,157.473
16.1195,158.157
16.1452,157.129
16.1708,156.75259999999997
16.1965,157.474
16.2222,158.313
16.2479,156.84679999999997
16.2736,156.41819999999998
16.2992,157.184
16.3249,157.565
16.3506,156.339
16.3763,157.915
16.4019,155.955
16.4276,157.726
16.4533,156.419
16.479,157.89
16.5047,156.467
16.5303,157.66
16.556,157.346
16.5817,158.259
16.6074,156.734
16.633,157.638
16.6587,156.98
16.6844,157.681
16.7101,156.833
16.7357,157.276
16.7614,157.336
16.7871,157.534
16.8128,157.144
16.8384,156.885
16.8641,157.439
16.8898,157.432
16.9155,157.709
16.9411,157.128
16.9668,157.829
16.9925,156.809
17.0182,157.839
17.0438,156.892
17.0695,158.224
17.0952,156.714
17.1208,157.879
17.1465,156.436
17.1722,158.226
17.1978,156.665
17.2235,158.499
17.2492,156.99
17.2749,158.514
17.3005,156.807
17.3262,158.212
17.3519,156.933
17.3776,158.485
17.4032,156.978
17.4289,158.303
17.4546,156.997
17.4803,158.333
17.5059,157.128
17.5316,158.201
17.5573,157.978
17.583,158.922
17.6086,157.445
17.6343,157.681
17.66,157.196
17.6857,158.092
17.7113,157.573
17.737,157.604
17.7627,157.947
17.7884,157.692
17.814,157.79
17.8397,157.47
17.8654,157.941
17.891,157.238
17.9167,158.11
17.9424,157.383
17.9681,158.544
17.9937,157.274
18.0194,158.285
18.0451,156.954
18.0708,158.541
18.0964,157.014
18.1221,158.67
18.1478,157.224
18.1735,158.855
18.1991,157.022
18.2248,158.576
18.2505,157.153
18.2762,159.046
18.3018,156.92
18.3275,158.491
18.3532,157.453
18.3788,158.679
18.4045,157.116
18.4302,158.291
18.4559,157.156
18.4815,158.323
18.5072,157.14
18.5329,158.177
18.5585,158.445
18.5842,158.763
18.6099,157.462
18.6356,157.792
18.6613,157.804
18.6869,157.75
18.7126,157.763
18.7383,156.2958
18.7639,156.87740000000002
18.7896,157.158
18.8153,157.008
18.8409,156.576
18.8666,157.477
18.8923,156.827
18.918,157.347
18.9436,156.806
18.9693,157.952
18.995,156.643
19.0206,157.834
19.0463,156.532
19.072,158.009
19.0977,156.374
19.1233,158.013
19.149,156.59
19.1747,158.205
19.2003,156.282
19.226,158.338
19.2517,156.795
19.2773,158.292
19.303,156.861
19.3287,158.128
19.3543,156.872
19.38,158.24
19.4057,156.929
19.4314,157.875
19.457,156.869
19.4827,157.832
19.5084,157.143
19.534,157.964
19.5597,158.262
19.5854,158.456
19.6111,157.496
19.6367,157.778
19.6624,157.844
19.6881,157.409
19.7137,157.814
19.7394,157.468
19.7651,158.247
19.7907,157.288
19.8164,158.024
19.8421,157.281
19.8677,158.494
19.8934,157.029
19.9191,158.333
19.9447,157.242
19.9704,158.679
19.9961,156.976
20.0218,158.444
20.0474,156.917
20.0731,158.604
20.0987,157.007
20.1244,158.599
20.1501,156.992
20.1757,158.607
20.2014,156.935
20.2271,158.513
20.2527,157.268
20.2784,158.498
20.3041,156.979
20.3297,158.231
20.3554,157.269
20.3811,158.314
20.4067,157.153
20.4324,158.085
20.4581,157.623
20.4837,157.841
20.5094,157.306
20.5351,157.845
20.5608,157.748
20.5864,157.772
20.6121,158.332
20.6378,157.98
20.6635,157.838
20.6891,157.526
20.7148,158.018
20.7405,157.582
20.7661,158.396
20.7918,156.955
20.8175,158.174
20.8431,157.189
20.8688,158.604
20.8945,157.152
20.9201,158.477
20.9458,157.264
20.9715,158.918
20.9972,156.782
21.0228,158.68
21.0485,157.217
21.0742,158.761
21.0998,156.887
21.1255,158.402
21.1512,156.584
21.1769,156.2878
21.2025,157.154
21.2282,158.035
21.2539,157.13359999999997
21.2795,156.2706
21.3052,156.967
21.3309,157.717
21.3565,157.37
21.3822,157.459
21.4079,156.378
21.4335,157.495
21.4592,157.05
21.4849,157.356
21.5105,156.825
21.5362,157.198
21.5619,157.138
21.5876,156.933
21.6132,157.552
21.6389,158.171
21.6646,158.057
21.6902,156.879
21.7159,157.589
21.7416,157.26
21.7672,158.22
21.7929,156.911
21.8186,158.261
21.8442,156.954
21.8699,158.079
21.8956,156.71
21.9212,158.236
21.9469,156.77
21.9726,158.685
21.9982,157.036
22.0239,158.613
22.0496,156.889
22.0752,158.353
22.1009,156.697
22.1266,158.239
22.1523,157.352
22.1779,158.768
22.2036,157.045
22.2293,158.396
22.255,157.258
22.2806,158.243
22.3063,157.191
22.332,158.078
22.3576,157.313
22.3833,157.921
22.409,157.385
22.4347,157.726
22.4603,157.687
22.486,157.48
22.5117,157.623
22.5373,157.51
22.563,157.967
22.5886,157.496
22.6143,158.453
22.64,158.018
22.6656,158.866
22.6913,157.253
22.717,158.397
22.7426,157.188
22.7683,158.423
22.794,157.009
22.8196,158.714
22.8453,157.173
22.871,158.762
22.8966,156.819
22.9223,158.771
22.948,157.307
22.9736,158.825
22.9993,157.025
23.025,158.663
23.0507,157.053
23.0763,158.325
23.102,157.072
23.1277,158.363
23.1534,157.518
23.179,158.691
23.2047,157.363
23.2304,157.941
23.2561,157.248
23.2817,158.465
23.3074,157.461
23.3331,157.889
23.3588,157.636
23.3844,157.952
23.4101,158.02
23.4358,158.074
23.4615,158.195
23.4871,157.483
23.5128,157.953
23.5385,157.66
23.5642,158.256
23.5898,157.197
23.6155,158.69
23.6412,158.328
23.6669,158.869
23.6925,157.073
23.7182,155.935
23.7439,156.7074
23.7695,156.54540000000003
23.7952,157.137
23.8209,157.529
23.8465,156.269
23.8722,157.711
23.8979,156.121
23.9236,157.83
23.9492,156.332
23.9749,157.917
24.0006,156.44
24.0262,158.078
24.0519,156.613
24.0776,157.805
24.1033,156.44
24.1289,157.977
24.1546,156.732
24.1803,157.865
24.206,157.14
24.2316,158.617
24.2573,157.685
24.283,158.033
24.3087,157.251
24.3343,157.345
24.36,157.256
24.3857,157.421
24.4114,157.579
24.437,157.402
24.4627,157.726
24.4884,157.107
24.5141,157.862
24.5397,157.313
24.5654,158.038
24.5911,156.75
24.6167,158.17
24.6424,157.589
24.6681,158.986
24.6938,156.91
24.7195,158.452
24.7451,156.879
24.7708,158.413
24.7965,156.918
24.8222,158.641
24.8478,156.776
24.8735,158.526
24.8991,156.777
24.9248,158.369
24.9505,157.063
24.9762,158.569
25.0018,157.068
25.0275,158.363
25.0532,156.979
25.0788,158.189
25.1045,157.372
25.1302,157.975
25.1558,157.354
25.1815,158.078
25.2072,157.564
25.2329,157.749
25.2585,157.531
25.2842,157.838
25.3099,157.599
25.3355,157.631
25.3612,157.939
25.3869,157.448
25.4126,158.32
25.4382,157.32
25.4639,157.885
25.4896,156.98
25.5153,158.321
25.5409,157.3
25.5666,158.461
25.5923,156.985
25.6179,158.501
25.6436,157.153
25.6693,157.6908
25.695,157.152
25.7206,158.621
25.7463,157.027
25.772,158.84
25.7976,157.046
25.8233,158.588
25.849,156.832
25.8747,158.479
25.9003,156.799
25.926,158.881
25.9517,157.577
25.9773,158.611
26.003,157.429
26.0287,158.597
26.0544,157.455
26.08,157.846
26.1057,157.366
26.1314,158.248
26.157,157.74
26.1827,157.912
26.2084,157.809
26.234,156.153
26.2597,156.9584
26.2854,156.952
26.311,157.071
26.3367,156.807
26.3623,157.023
26.388,156.744
26.4137,158.162
26.4393,157.801
26.465,157.94
26.4907,156.618
26.5163,157.901
26.542,156.522
26.5676,157.787
26.5933,156.457
26.619,158.355
26.6446,157.277
26.6703,158.588
26.6959,156.444
26.7216,158.289
26.7473,156.746
26.7729,158.06
26.7986,156.621
26.8242,158.421
26.8499,156.608
26.8756,158.005
26.9012,156.667
26.9269,158.158
26.9526,157.138
26.9783,158.122
27.0039,157.011
27.0296,158.111
27.0553,157.391
27.0809,157.96
27.1066,157.449
27.1323,157.862
27.158,157.455
27.1836,157.69
27.2093,157.803
27.235,157.622
27.2606,158.68
27.2863,157.979
27.312,158.096
27.3377,157.356
27.3633,158.044
27.389,156.863
27.4147,158.301
27.4403,157.18
27.466,158.273
27.4917,156.785
27.5174,158.574
27.543,156.802
27.5687,158.254
27.5944,156.843
27.62,158.82
27.6457,157.378
27.6714,159.121
27.6971,157.004
27.7227,158.608
27.7484,156.932
27.7741,158.464
27.7997,157.058
27.8254,158.629
27.8511,157.24
27.8767,158.305
27.9024,157.3
27.9281,158.156
27.9537,157.484
27.9794,158.498
28.0051,157.467
28.0308,158.167
28.0564,157.704
28.0821,157.835
28.1078,157.672
28.1334,157.719
28.1591,157.966
28.1848,157.706
28.2104,158.205
28.2361,157.759
28.2618,158.537
28.2874,157.284
28.3131,158.21
28.3388,157.129
28.3645,158.43
28.3901,157.289
28.4158,158.846
28.4415,156.866
28.4671,158.374
28.4928,156.859
28.5185,158.429
28.5441,156.878
28.5698,158.748
28.5955,156.935
28.6211,158.828
28.6468,157.383
28.6725,156.6778
28.6982,157.629
28.7238,158.063
28.7495,157.1588
28.7752,156.0374
28.8009,156.994
28.8266,157.411
28.8522,156.233
28.8779,157.31
28.9036,156.336
28.9293,157.601
28.9549,156.951
28.9806,157.275
29.0063,157.061
29.032,157.6
29.0577,157.385
29.0833,157.178
29.109,157.46
29.1347,157.468
29.1603,157.556
29.186,157.076
29.2117,157.977
29.2374,157.019
29.2631,157.853
29.2887,156.906
29.3144,158.101
29.3401,156.853
29.3657,158.056
29.3914,156.771
29.4171,158.662
29.4428,156.905
29.4684,158.476
29.4941,156.762
29.5198,158.452
29.5455,156.925
29.5711,158.25
29.5968,156.676
29.6225,158.655
29.6482,156.872
29.6738,158.629
29.6995,157.526
29.7252,158.309
29.7508,156.917
29.7765,158.011
29.8022,156.989
29.8279,158.243
29.8535,157.533
29.8792,157.806
29.9049,157.518
29.9305,157.936
29.9562,157.598
29.9819,157.449
30.0075,157.802
30.0332,158.05
30.0589,158.016
30.0845,157.18
30.1102,158.212
30.1359,157.492
30.1615,158.109
30.1872,157.057
30.2129,158.352
30.2385,156.941
30.2642,158.362
30.2899,156.925
30.3156,158.413
30.3412,156.685
30.3669,158.205
30.3926,156.598
30.4183,158.619
30.4439,156.641
30.4696,158.597
30.4953,156.704
30.5209,158.681
30.5466,157.285
30.5723,158.337
30.598,156.795
30.6236,158.379
30.6493,156.889
30.675,158.261
30.7006,157.805
30.7263,159.08
30.752,157.151
30.7776,157.963
30.8033,157.394
30.829,158.02
30.8546,157.583
30.8803,157.854
30.9059,157.865
30.9316,158.147
30.9573,158.251
30.983,157.4
31.0086,157.955
31.0343,157.53
31.06,158.119
31.0857,157.294
31.1113,158.048
31.137,157.309
31.1627,158.442
31.1883,157.078
31.214,155.8928
31.2397,156.756
31.2654,156.335
31.291,157.274
31.3167,157.572
31.3424,157.38299999999998
31.3681,157.849
31.3937,156.521
31.4194,157.699
31.4451,155.999
31.4707,157.58
31.4964,156.226
31.5221,158.548
31.5477,157.378
31.5734,158.364
31.5991,156.542
31.6248,158.163
31.6504,156.82
31.6761,157.873
31.7018,157.261
31.7274,158.707
31.7531,157.228
31.7788,157.704
31.8045,157.411
31.8301,157.829
31.8558,157.538
31.8815,157.298
31.9071,157.508
31.9328,157.471
31.9585,157.662
31.9842,157.052
32.0098,158.183
32.0355,157.037
32.0612,157.713
32.0868,156.654
32.1125,158.071
32.1382,156.66
32.1638,157.796
32.1895,156.584
32.2152,158.596
32.2408,157.12
32.2665,158.511
32.2921,156.651
32.3178,158.166
32.3435,156.099
32.3691,157.954
32.3948,156.586
32.4205,158.597
32.4461,156.729
32.4718,158.21
32.4975,157.094
32.5231,158.337
32.5488,156.8
32.5745,157.995
32.6001,156.892
32.6258,158.034
32.6515,156.992
32.6772,157.739
32.7028,157.258
32.7285,158.384
32.7542,158.348
32.7798,157.674
32.8055,157.937
32.8312,158.274
32.8569,158.056
32.8825,157.598
32.9082,158.259
32.9339,157.192
32.9596,157.892
32.9852,156.831
33.0109,158.287
33.0366,157.016
33.0622,158.434
33.0879,156.915
33.1136,158.623
33.1392,157.195
33.1649,158.49
33.1906,156.682
33.2162,158.817
33.2419,156.954
33.2676,158.333
33.2932,156.793
33.3189,158.481
33.3446,156.87
33.3702,158.446
33.3959,157.106
33.4216,158.673
33.4473,156.833
33.4729,158.193
33.4986,156.986
33.5243,158.15
33.5499,157.235
33.5756,157.927
33.6013,157.391
33.627,157.998
33.6527,157.626
33.6783,157.998
33.704,158.207
33.7297,157.237
33.7553,157.221
33.781,156.802
33.8067,157.104
33.8323,156.755
33.858,156.973
33.8837,156.125
33.9094,157.257
33.935,156.66
33.9607,157.442
33.9864,156.5
34.012,157.744
34.0377,156.581
34.0634,157.678
34.0891,156.364
34.1147,157.855
34.1404,156.478
34.1661,157.76
34.1917,156.475
