时间(s),电流(mA)
9.8575,157.622
9.8832,158.579
9.9088,157.616
9.9345,158.155
9.9602,157.038
9.9858,158.111
10.0115,157.879
10.0372,158.107
10.0629,157.474
10.0885,158.079
10.1142,157.384
10.1399,157.34
10.1656,157.646
10.1912,157.565
10.2169,158.343
10.2426,157.299
10.2682,158.09
10.2939,157.306
10.3196,158.086
10.3453,157.369
10.3709,158.602
10.3966,157.284
10.4223,158.976
10.448,157.189
10.4736,159.352
10.4993,157.281
10.525,158.347
10.5507,157.468
10.5763,159.042
10.602,157.49
10.6277,158.794
10.6534,157.356
10.679,158.8
10.7047,157.977
10.7304,158.644
10.756,157.438
10.7817,159.19
10.8074,157.642
10.8331,158.788
10.8587,158.018
10.8844,158.141
10.9101,157.399
10.9358,158.236
10.9614,158.55
10.9871,158.644
11.0128,157.785
11.0385,157.915
11.0641,158.034
11.0898,158.09
11.1155,158.256
11.1412,157.46
11.1668,159.021
11.1925,157.938
11.2182,158.54
11.2438,157.812
11.2695,158.917
11.2952,158.212
11.3209,158.636
11.3465,157.481
11.3722,159.708
11.3979,157.077
11.4235,158.997
11.4492,157.465
11.4749,158.84
11.5006,156.927
11.5263,159.424
11.5519,157.472
11.5776,158.67
11.6033,157.467
11.629,159.409
11.6546,157.449
11.6803,159.109
11.6804,157.754
11.7316,158.295
11.7573,157.765
11.783,158.624
11.8086,157.976
11.8343,158.9
11.8599,158.066
11.8856,158.815
11.9113,157.751
11.9369,157.833
11.9626,158.47
11.9883,158.357
12.0139,157.899
12.0396,156.6926
12.0652,157.153
12.0909,157.068
12.1166,157.796
12.1422,156.697
12.1679,157.886
12.1936,157.576
12.2192,157.857
12.2449,157.513
12.2706,158.261
12.2962,156.669
12.3219,158.384
12.3476,156.606
12.3732,158.924
12.3989,157.497
12.4246,158.415
12.4502,157.462
12.4759,158.524
12.5016,156.954
12.5272,158.644
12.5529,156.618
12.5786,158.272
12.6042,157.416
12.6299,158.287
12.6556,156.43
12.6812,158.298
12.7069,157.875
12.7326,158.142
12.7582,157.407
12.7839,159.159
12.8096,157.895
12.8352,158.195
12.8609,157.731
12.8866,157.937
12.9123,157.358
12.9379,157.369
12.9636,158.477
12.9893,157.754
13.015,158.044
13.0406,158.054
13.0663,158.235
13.092,157.307
13.1176,158.298
13.1433,157.415
13.169,158.527
13.1947,158.145
13.2203,158.793
13.246,157.196
13.2717,159.364
13.2974,157.517
13.323,158.929
13.3487,157.486
13.3744,159.272
13.4001,157.516
13.4257,158.663
13.4514,157.078
13.4771,159.208
13.5027,156.903
13.5284,158.31
13.5541,157.841
