时间(s),电流(mA)
9.3176,157.886
9.3433,158.547
9.3689,158.144
9.3946,158.373
9.4203,157.485
9.4459,158.74
9.4716,158.054
9.4973,157.738
9.5229,157.871
9.5486,158.081
9.5742,158.087
9.5999,157.832
9.6256,158.514
9.6512,157.871
9.6769,158.849
9.7026,157.562
9.7282,158.426
9.7539,157.429
9.7796,159.08
9.8052,156.912
9.8309,159.11
9.8566,157.489
9.8822,158.712
9.9079,157.437
9.9336,158.984
9.9592,157.633
9.9849,159.03
10.0106,156.806
10.0363,158.575
10.0619,157.776
10.0876,158.71
10.1133,157.144
10.1389,159.439
10.1646,157.473
10.1903,158.451
10.2159,157.922
10.2416,158.997
10.2673,157.434
10.293,158.201
10.3186,158.237
10.3443,158.679
10.37,158.097
10.3956,158.833
10.4213,158.04
10.447,157.921
10.4726,158.464
10.4983,158.456
10.524,158.394
10.5496,157.775
10.5753,158.878
10.601,157.903
10.6266,158.726
10.6523,158.038
10.678,158.804
10.7036,157.568
10.7293,159.617
10.755,157.541
10.7806,159.478
10.8063,157.404
10.832,158.767
10.8576,156.776
10.8833,158.581
10.909,157.83
10.9347,159.353
10.9603,157.266
10.986,159.523
11.0117,157.491
11.0373,159.153
11.063,157.982
11.0886,158.836
11.1143,158.002
11.1399,159.176
11.1656,157.639
11.1913,158.375
11.2169,157.721
11.2426,157.75
11.2683,157.6732
11.2939,157.353
11.3196,158.158
11.3452,157.384
11.3709,157.768
11.3966,157.621
11.4222,156.96
11.4479,157.104
11.4736,158.172
11.4993,157.572
11.5249,157.5
11.5506,157.132
11.5763,158.663
11.6019,157.125
11.6276,158.37
11.6533,157.334
11.679,158.337
11.7046,157.464
11.7303,158.547
11.756,156.935
11.7816,158.76
11.8073,158.185
11.833,158.607
11.8586,157.872
11.8843,158.751
11.91,156.454
11.9356,158.316
11.9613,157.274
11.987,158.497
12.0126,157.014
12.0383,158.943
12.064,156.874
12.0896,158.122
12.1153,156.943
12.141,158.288
12.1666,157.388
12.1923,157.84
12.218,157.422
12.2436,158.445
12.2693,157.47
12.295,157.651
12.3206,158.188
12.3463,158.092
12.372,158.131
12.3976,158.101
12.4233,158.0
12.449,158.039
12.4746,158.673
12.5003,157.568
12.526,159.013
12.5516,157.28
12.5773,158.523
12.603,157.296
12.6286,159.119
12.6543,157.373
12.68,159.24
12.7056,157.342
12.7313,159.064
12.7569,157.657
12.7826,158.85
12.8083,157.691
12.8339,159.293
12.8596,157.116
12.8853,159.418
12.9109,157.08
12.9366,158.449
12.9622,157.473
12.9879,159.238
13.0136,157.005
13.0392,158.237
13.0649,157.768
13.0906,159.091
13.1162,157.51
13.1419,157.928
13.1676,158.136
13.1932,158.646
13.2189,157.909
13.2446,158.46
13.2702,158.053
13.2959,158.129
13.3215,158.627
13.3472,157.902
13.3729,159.108
13.3986,157.44
13.4242,158.576
13.4499,158.152
13.4756,158.751
13.5012,158.074
13.5269,159.351
13.5526,157.801
13.5782,159.704
13.6039,157.217
13.6296,158.889
13.6552,157.615
13.6809,157.0138
13.7066,156.973
13.7322,156.198
13.7579,157.30559999999997
13.7836,156.8022
13.8092,157.212
13.8349,158.54
13.8605,156.667
13.8862,157.876
13.9119,156.703
13.9376,158.551
13.9632,156.703
13.9889,158.702
14.0146,157.172
14.0402,158.001
14.0659,158.25
14.0916,158.027
14.1173,157.838
14.1429,158.065
14.1686,157.248
14.1943,157.774
14.2199,158.151
